episode, show
388, [59 59 32 69 55 79 49 65 67 79 51 80 57 78 64 57]
389, [82 54 55 55 39 72 58 67 68 61 50 69 69 74 63 64]
390, [49 47 55 62 55 51 51 86 72 83 62 64 69 77 48 69]
391, [59 71 36 71 49 72 64 60 72 59 70 53 53 72 69 70]
392, [54 64 43 59 62 59 77 76 57 71 63 52 71 65 55 72]
393, [61 63 33 54 69 57 74 62 70 75 62 67 50 65 68 70]
394, [78 62 34 58 55 59 77 74 61 61 54 67 63 74 55 68]
395, [60 68 46 52 62 67 78 55 59 65 55 76 71 61 49 76]
396, [65 79 52 63 60 51 63 73 53 71 62 70 74 45 66 53]
397, [58 84 37 63 53 62 56 75 44 59 65 69 68 76 75 56]
398, [76 71 13 75 85 54 67 66 66 74 59 54 61 54 57 68]
399, [60 57 51 68 55 61 51 78 69 64 64 65 60 68 71 58]
400, [53 59 37 69 60 64 57 67 90 55 66 58 61 62 76 66]
401, [81 58 51 52 45 68 68 86 67 74 60 71 48 55 60 56]
402, [56 68 52 66 49 65 72 77 56 66 61 63 67 59 59 64]
403, [60 52 58 64 40 84 80 59 67 69 60 66 50 53 73 65]
404, [80 60 48 62 64 73 65 61 46 67 47 60 76 71 67 53]
405, [79 70 36 59 46 61 72 61 74 64 48 68 65 72 71 54]
406, [76 54 48 63 47 76 69 64 63 62 71 72 63 49 68 55]
407, [67 58 51 62 54 57 64 63 65 77 58 50 81 63 66 64]
408, [52 57 27 65 73 63 57 68 77 76 71 50 68 54 75 67]
409, [49 70 51 61 65 56 70 70 68 71 52 60 65 73 72 47]
410, [66 59 51 82 55 62 59 77 63 54 56 66 65 72 52 61]
411, [50 70 33 54 64 53 77 59 58 67 66 66 70 65 83 65]
412, [64 53 10 65 84 62 55 78 77 63 67 67 69 70 52 64]
413, [71 68 45 68 56 50 49 61 69 60 72 56 61 74 72 68]
414, [63 59 44 62 61 57 84 62 66 58 49 60 61 67 73 74]
415, [57 50 49 65 57 63 69 66 56 64 76 58 69 59 80 62]
416, [43 71 50 71 47 77 75 56 64 53 49 70 72 61 70 71]
417, [62 64 28 77 60 75 71 62 51 69 59 70 57 75 56 64]
418, [69 65 60 67 55 52 65 63 70 60 61 68 62 51 63 69]
419, [64 53 39 76 55 60 53 65 62 78 60 55 77 76 65 62]
420, [75 73 66 73 52 61 64 64 62 50 60 62 54 75 54 55]
421, [54 71 53 62 54 68 71 62 75 57 60 65 60 64 69 55]
422, [63 83 49 62 55 75 71 46 61 50 72 62 73 56 64 58]
423, [69 59 52 64 43 59 62 67 66 71 74 57 68 53 68 68]
424, [56 53 56 66 56 63 69 64 68 58 68 73 66 66 62 56]
425, [75 67 41 55 61 60 61 59 77 73 60 56 64 68 62 61]
426, [47 68 42 58 59 71 70 76 48 72 62 66 71 67 58 65]
427, [68 54 67 71 57 59 60 57 53 71 63 69 67 54 59 71]
428, [63 70 37 59 64 56 68 74 67 63 54 62 72 64 66 61]
429, [60 64 50 74 56 70 68 51 73 53 64 77 59 58 64 59]
430, [55 52 50 57 49 59 60 78 73 61 62 63 71 68 70 72]
431, [57 65 54 80 47 60 70 66 55 69 56 74 64 54 58 71]
432, [65 71 52 72 55 76 64 60 61 73 57 64 54 55 52 69]
433, [84 65 41 66 68 57 75 56 57 57 81 54 57 64 56 62]
434, [45 70 49 62 64 59 70 72 75 59 70 53 59 70 54 69]
435, [73 69 40 65 56 52 52 79 60 61 63 57 70 64 62 77]
436, [61 59 36 57 71 62 56 66 67 70 59 63 66 64 71 72]
437, [73 71 20 71 69 75 63 59 62 63 48 59 64 68 76 59]
438, [64 64 38 61 62 59 54 73 75 72 70 64 58 70 65 51]
439, [58 54 52 58 63 66 61 72 80 76 55 55 59 65 54 72]
440, [53 61 59 65 52 76 73 70 63 56 52 74 68 63 58 57]
441, [61 58 39 75 59 77 66 63 58 59 71 66 58 66 62 62]
442, [63 59 46 51 58 73 64 81 66 51 64 71 67 60 68 58]
443, [56 67 35 69 73 60 70 57 65 79 56 77 59 61 55 61]
444, [68 64 34 52 62 55 58 70 63 74 69 68 70 66 68 59]
445, [63 72 15 48 89 54 60 73 69 68 74 59 57 69 59 71]
446, [59 57 46 67 62 64 74 69 64 61 44 68 66 61 64 74]
447, [54 64 57 45 65 48 72 66 70 78 68 55 58 72 67 61]
448, [73 69 47 60 47 46 57 89 53 75 70 64 55 69 74 52]
449, [61 55 49 71 60 60 59 68 67 66 66 61 64 60 65 68]
450, [49 59 43 78 44 73 66 71 62 50 70 55 61 64 80 75]
451, [46 63 52 66 58 67 55 58 75 72 63 61 63 73 64 64]
452, [60 69 39 63 67 58 64 67 60 78 64 51 64 76 60 60]
453, [64 61 43 69 49 68 59 68 79 72 54 52 69 63 69 61]
454, [51 63 52 65 65 55 75 60 75 66 68 56 57 55 62 75]
455, [52 69 60 64 64 70 63 68 61 69 63 59 63 59 58 58]
456, [66 48 41 68 62 54 71 66 48 78 71 69 62 74 69 53]
457, [63 60 46 68 58 64 52 53 71 61 64 58 68 71 75 68]
458, [80 64 78 55 40 55 59 64 57 51 75 71 70 60 63 58]
459, [64 72 54 65 39 54 65 71 58 56 71 73 67 51 77 63]
460, [47 68 61 50 48 67 75 70 54 67 76 64 66 42 73 72]
461, [47 72 45 67 68 56 72 55 62 75 70 59 67 65 58 62]
462, [68 62 46 62 65 64 60 54 61 72 73 67 66 62 57 61]
463, [76 64 40 59 66 63 58 66 67 68 64 57 60 59 71 62]
464, [63 72 48 63 60 53 54 58 65 65 63 70 61 61 71 73]
465, [64 74 54 60 59 45 57 60 73 64 69 56 67 67 61 70]
466, [61 62 44 65 71 68 57 71 65 65 60 54 69 62 70 56]
467, [57 66 45 52 63 65 63 73 72 75 66 58 67 58 54 66]
468, [65 69 44 65 62 70 66 54 70 59 64 59 67 44 64 78]
469, [63 64 56 73 42 72 59 69 58 61 62 67 81 56 60 57]
470, [66 72 33 57 79 58 54 63 66 67 61 70 58 68 61 67]
471, [52 44 49 65 59 63 72 71 56 65 73 64 67 59 66 75]
472, [68 73 52 64 44 69 64 59 67 60 61 62 60 72 49 76]
473, [64 72 43 55 62 71 76 62 57 65 76 54 57 67 60 59]
474, [61 64 58 74 49 55 56 53 65 81 68 67 72 52 61 64]
475, [61 64 41 66 67 57 70 60 70 61 82 62 70 64 53 52]
476, [54 67 56 62 51 57 69 68 78 67 66 61 53 56 69 66]
477, [57 69 48 65 65 58 80 69 61 59 71 62 50 63 52 71]
478, [57 60 43 61 79 62 54 59 51 60 67 75 73 54 75 70]
479, [71 74 39 52 65 65 57 64 65 70 52 55 68 64 57 82]
480, [58 64 66 59 59 56 65 70 56 65 72 63 63 71 45 68]
481, [59 72 39 55 87 60 55 86 60 65 60 55 68 61 56 62]
482, [64 57 35 77 56 52 73 64 62 69 60 60 62 74 81 54]
483, [55 56 28 67 68 57 58 68 63 72 70 69 61 75 73 60]
484, [71 65 21 54 92 69 72 55 62 59 73 70 58 67 60 52]
485, [59 70 61 60 44 58 59 71 68 68 58 65 72 61 60 66]
486, [59 62 47 66 71 70 65 52 58 65 56 68 59 67 60 75]
487, [54 62 44 65 67 55 75 56 69 55 69 65 72 65 58 69]
488, [64 72 39 59 59 61 66 60 68 76 58 64 57 63 75 59]
489, [48 69 44 62 69 63 64 71 56 51 54 65 69 74 63 78]
490, [73 69 56 70 52 65 54 60 58 62 57 77 60 55 60 72]
491, [56 50 47 63 61 62 72 61 66 70 74 66 64 64 68 56]
492, [69 75 36 70 43 73 69 65 48 57 68 60 69 44 78 76]
493, [71 69 47 61 42 52 76 64 68 69 71 62 60 60 63 65]
494, [67 70 65 58 67 66 54 55 60 63 70 55 65 71 50 64]
495, [65 57 56 79 44 73 59 61 61 58 66 67 70 60 65 59]
496, [65 57 42 75 47 59 57 65 64 73 75 59 67 72 50 73]
497, [57 63 46 72 68 59 56 74 80 54 57 61 57 71 60 65]
498, [61 67 49 69 56 65 57 59 64 64 77 78 55 74 51 54]
499, [63 77 52 66 54 66 63 52 68 60 57 61 72 66 49 74]
500, [61 58 29 64 64 58 62 55 81 65 64 69 72 87 63 48]
501, [72 66 48 71 57 57 66 66 61 55 64 70 62 60 57 68]
502, [68 52 40 70 50 73 61 54 68 64 50 59 83 56 79 73]
503, [52 54 45 63 52 64 70 67 70 79 61 55 67 67 61 73]
504, [59 50 39 67 76 70 65 57 56 65 65 68 64 78 58 63]
505, [60 67 36 75 69 60 52 76 61 68 58 66 72 56 63 61]
506, [59 75 52 62 66 76 55 57 72 50 56 58 57 73 65 67]
507, [78 57 46 33 76 51 60 87 62 63 66 65 64 64 67 61]
508, [62 77 42 57 79 74 52 44 58 53 72 71 67 65 56 71]
509, [70 55 41 57 76 58 66 66 62 64 65 58 76 59 67 60]
510, [78 52 44 66 55 62 67 49 71 78 67 68 59 65 63 56]
511, [52 59 53 58 58 67 63 78 63 59 68 66 73 62 61 60]
512, [64 55 58 56 46 77 69 53 73 65 56 69 81 53 63 62]
513, [65 62 35 57 72 66 57 64 63 69 61 75 64 77 56 57]
514, [62 58 56 62 49 67 79 67 73 74 60 45 50 69 54 75]
515, [59 63 36 61 65 55 74 61 65 71 61 66 67 69 60 67]
516, [54 58 52 66 58 68 89 66 57 57 66 69 67 57 54 62]
517, [69 82 65 48 64 69 63 66 64 60 57 74 46 58 54 61]
518, [61 57 54 58 60 60 65 51 67 61 63 54 74 79 66 70]
519, [66 69 52 65 49 65 68 70 54 60 66 75 51 61 62 67]
520, [58 64 31 62 56 63 76 68 70 52 71 70 53 62 67 77]
521, [64 58 48 61 48 54 82 68 73 68 62 51 61 60 63 79]
522, [61 62 37 74 71 48 60 54 66 53 68 61 73 63 74 75]
523, [62 70 54 65 51 64 76 51 60 64 66 59 62 60 74 62]
524, [66 60 51 64 58 77 75 48 58 78 68 63 66 59 56 53]
525, [63 62 34 83 55 73 71 70 55 51 74 61 57 69 65 57]
526, [59 53 60 70 68 60 69 66 71 58 64 57 53 63 64 65]
527, [61 46 51 54 68 63 66 54 76 76 71 68 63 68 52 63]
528, [66 73 41 55 59 76 74 62 64 52 58 59 64 68 76 53]
529, [69 51 59 70 52 71 63 54 71 80 55 73 56 55 54 67]
530, [65 59 38 51 64 62 70 64 68 57 68 62 70 69 61 72]
531, [69 65 40 74 53 59 70 59 65 53 60 72 71 58 67 65]
532, [63 73 46 52 62 67 58 63 52 56 69 54 63 79 71 72]
533, [75 75 33 73 52 59 59 66 71 62 54 63 57 69 70 62]
534, [62 59 27 66 85 76 50 59 63 67 72 55 64 56 61 78]
535, [62 60 47 66 56 61 68 54 67 58 62 59 72 69 67 72]
536, [67 60 41 74 59 86 77 46 45 79 59 57 55 68 59 68]
537, [80 72 42 67 56 52 73 74 60 51 66 57 52 60 67 71]
538, [59 51 57 71 55 83 50 62 64 66 61 65 54 89 62 51]
539, [57 61 61 56 49 48 64 57 67 67 77 70 74 81 63 48]
540, [75 75 45 59 44 61 73 62 69 82 49 71 57 66 53 59]
541, [65 73 46 66 62 60 66 52 52 67 60 69 64 63 64 71]
542, [64 62 49 59 66 66 58 70 68 54 77 57 72 64 60 54]
543, [64 68 40 53 65 64 59 60 74 65 61 72 65 63 64 63]
544, [64 69 51 65 53 75 66 59 51 72 67 68 67 55 49 69]
545, [56 62 39 62 71 53 72 52 74 74 68 61 57 63 61 75]
546, [52 75 57 67 58 62 57 51 61 70 57 73 69 71 59 61]
547, [63 58 39 60 61 55 61 64 59 74 71 71 66 81 53 64]
548, [48 65 53 73 46 67 81 68 68 57 77 52 72 67 43 63]
549, [56 70 49 76 56 62 68 50 53 60 60 74 61 60 71 74]
550, [58 63 40 64 65 64 63 61 64 60 61 64 80 66 57 70]
551, [65 64 67 66 46 65 63 52 51 69 63 66 70 75 59 59]
552, [69 52 49 48 55 68 71 77 63 54 67 63 71 63 74 56]
553, [68 58 44 61 61 64 86 61 60 69 51 64 73 65 55 60]
554, [65 71 16 74 81 66 66 57 62 85 54 46 62 70 63 62]
555, [69 58 34 63 78 72 56 49 51 71 54 78 58 62 68 79]
556, [65 67 31 70 89 67 70 55 60 53 58 62 68 66 65 54]
557, [61 63 15 77 93 58 62 63 63 72 68 65 53 66 62 59]
558, [71 74 55 66 45 72 60 73 70 50 72 70 49 58 63 52]
559, [57 57 41 69 66 54 79 67 66 45 48 64 77 68 73 69]
560, [57 70 53 74 64 57 71 59 63 51 54 69 75 60 57 66]
561, [56 66 53 73 49 64 68 60 61 63 64 59 70 68 55 71]
562, [75 58 33 75 76 51 67 62 74 65 56 74 70 57 59 48]
563, [53 70 38 59 65 55 78 68 67 69 50 71 64 65 59 69]
564, [63 64 57 61 61 66 68 59 55 67 70 53 66 60 74 56]
565, [65 63 63 63 49 61 77 68 69 57 63 67 53 66 56 60]
566, [70 65 57 58 67 64 56 45 55 63 68 64 73 70 64 61]
567, [54 66 36 59 77 47 72 70 84 51 67 52 71 53 70 71]
568, [58 62 48 74 50 73 54 55 82 69 71 70 54 63 56 61]
569, [70 63 50 52 66 44 73 59 50 71 70 63 65 72 68 64]
570, [64 67 51 53 53 66 65 59 72 71 65 46 68 68 65 67]
571, [60 85 51 61 41 65 62 71 59 74 66 52 72 52 57 72]
572, [53 67 54 59 63 59 71 69 70 75 56 54 67 52 61 70]
573, [73 62 58 63 58 56 60 59 49 65 69 70 60 70 67 61]
574, [48 62 48 75 45 66 59 75 55 70 55 62 57 75 71 77]
575, [63 69 51 71 60 71 67 58 59 68 42 60 62 65 63 71]
576, [58 67 57 56 70 62 60 66 66 64 69 69 71 61 55 49]
577, [73 65 14 66 76 70 59 71 74 63 55 66 74 61 45 68]
578, [60 67 25 68 84 57 65 47 48 63 67 72 63 65 84 65]
579, [58 60 49 72 43 52 64 69 60 64 69 71 72 66 59 72]
580, [52 62 35 68 59 51 63 67 58 61 70 82 73 70 56 73]
581, [57 68 43 54 61 67 73 58 66 66 70 56 63 67 66 65]
582, [64 67 61 59 44 66 56 54 67 67 74 73 59 57 57 75]
583, [64 67 42 63 52 63 76 54 68 66 68 55 60 74 62 66]
584, [52 57 36 66 72 62 58 73 59 67 67 61 72 63 66 69]
585, [55 69 40 64 52 56 67 64 63 64 64 74 74 56 77 61]
586, [57 60 26 60 56 65 81 70 60 80 53 52 80 68 63 69]
587, [58 68 42 45 67 64 68 63 61 75 70 52 75 61 58 73]
588, [59 51 55 62 47 67 63 59 70 67 59 70 52 56 78 85]
589, [67 58 62 58 42 64 61 65 67 60 68 59 79 60 61 69]
590, [50 61 40 68 60 66 67 78 62 52 68 61 83 58 64 62]
591, [73 69 44 75 45 66 72 55 77 66 63 74 58 61 49 53]
592, [60 78 40 61 54 66 61 53 61 66 68 55 67 70 75 65]
593, [68 69 43 62 61 50 64 63 68 71 65 61 63 58 71 63]
594, [57 58 45 77 64 67 61 47 66 72 62 61 75 56 71 61]
595, [44 85 50 62 55 63 72 72 58 65 55 61 76 60 69 53]
596, [63 60 46 58 66 51 81 53 57 65 52 75 59 74 74 66]
597, [45 69 35 70 58 75 68 57 59 71 65 51 68 75 79 55]
598, [71 64 50 65 56 58 47 66 75 65 62 61 62 67 64 67]
599, [62 62 53 67 63 75 59 57 53 67 53 58 65 69 69 68]
600, [79 77 51 52 48 81 61 53 66 64 64 56 57 59 64 68]
601, [74 58 43 68 50 57 72 70 72 56 62 62 63 71 62 60]
602, [75 69 33 68 76 66 52 54 66 65 81 76 38 53 61 67]
603, [60 63 31 65 66 76 71 66 57 64 70 71 64 65 59 52]
604, [61 62 46 68 63 49 60 82 58 63 63 66 84 56 55 64]
605, [72 65 58 76 45 65 67 70 67 47 59 47 64 55 68 75]
606, [67 60 23 74 65 45 69 56 69 60 66 59 64 74 66 83]
607, [ 61  68  10  56 101  55  71  67  71  70  59  62  62  60  61  66]
608, [71 67 36 65 50 63 61 76 56 68 67 58 69 61 68 64]
609, [52 56 40 70 58 59 67 61 68 66 47 63 79 68 77 69]
610, [61 55 55 54 67 58 79 63 59 59 66 65 67 65 62 65]
611, [65 51 33 54 76 59 59 75 67 60 54 72 67 62 77 69]
612, [62 68 42 61 49 66 67 65 71 57 66 63 75 60 63 65]
613, [58 70 44 63 51 67 67 66 51 71 63 56 56 80 81 56]
614, [73 54 40 77 56 77 67 64 60 55 52 66 57 58 55 89]
615, [58 59 60 73 57 59 68 60 74 60 60 65 63 62 69 53]
616, [73 66 33 60 70 62 64 75 60 67 60 55 60 66 58 71]
617, [67 69 53 67 51 65 60 55 63 70 63 62 62 71 54 68]
618, [66 59 45 58 43 71 67 72 70 67 65 69 79 56 59 54]
619, [66 75 46 66 53 59 72 60 65 66 58 66 56 66 67 59]
620, [65 55 56 63 55 50 58 71 87 54 66 67 70 63 56 64]
621, [61 53 52 63 57 60 64 74 72 64 55 69 69 63 72 52]
622, [61 69 25 71 64 63 65 68 59 76 57 57 59 59 76 71]
623, [63 66 42 55 55 53 63 70 62 66 67 73 65 75 63 62]
624, [78 63 45 66 64 66 76 58 57 59 62 57 60 62 67 60]
625, [52 71 36 54 67 64 62 73 70 78 52 68 72 68 61 52]
626, [63 50 45 82 51 60 63 61 69 68 70 64 56 75 56 67]
627, [64 60 37 75 75 69 62 62 54 59 67 56 69 55 71 65]
628, [62 57 54 58 47 61 73 57 73 59 68 62 62 73 72 62]
629, [52 61 33 70 71 61 64 69 67 70 52 69 62 66 69 64]
630, [60 67 47 55 48 75 66 75 70 78 69 63 48 55 54 70]
631, [87 64 38 57 74 60 65 63 60 50 55 64 62 59 73 69]
632, [48 54 47 65 59 76 73 73 67 64 56 52 69 70 52 75]
633, [65 69 44 52 61 65 68 70 70 62 63 59 70 58 57 67]
634, [70 79 30 54 77 60 65 68 65 71 61 75 54 45 60 66]
635, [59 66 44 57 67 61 74 61 64 55 70 59 74 69 66 54]
636, [63 64 33 72 83 60 65 53 76 51 63 71 66 57 69 54]
637, [59 65 44 53 50 62 67 68 61 66 63 66 80 67 53 76]
638, [69 76 50 63 52 63 62 68 74 68 59 59 60 49 61 67]
639, [54 65 57 71 56 74 53 70 58 57 68 67 59 75 61 55]
640, [76 75 27 66 78 51 54 65 64 66 66 52 58 74 72 56]
641, [58 53 41 59 78 64 79 63 79 67 55 62 55 66 66 55]
642, [64 69 42 53 63 65 61 73 78 70 46 72 59 66 61 58]
643, [58 67 62 72 40 65 74 58 65 61 66 55 58 67 62 70]
644, [67 70 54 66 48 72 68 61 70 63 55 63 58 67 57 61]
645, [53 55 44 63 67 68 74 54 65 51 59 75 61 74 67 70]
646, [65 60 62 54 54 65 70 66 55 82 59 63 60 67 61 57]
647, [49 63 48 71 61 67 68 61 54 58 70 57 58 61 64 90]
648, [66 57 61 65 49 66 61 58 57 57 60 73 69 68 71 62]
649, [74 69 44 76 54 66 56 54 67 54 62 66 59 72 64 63]
650, [66 65 37 62 52 61 60 63 60 68 56 66 59 67 72 86]
651, [70 78 41 56 48 69 69 70 69 70 53 62 62 65 58 60]
652, [75 67 53 72 58 73 58 60 52 47 60 68 56 76 71 54]
653, [63 58 46 55 70 50 80 62 69 69 58 63 65 59 73 60]
654, [59 62 48 71 60 58 70 60 67 59 66 63 58 66 74 59]
655, [55 66 52 59 70 58 64 69 64 72 60 75 54 63 68 51]
656, [72 68 32 61 65 85 73 51 54 68 71 50 55 64 70 61]
657, [68 66 40 61 69 54 64 71 73 67 70 54 53 64 66 60]
658, [61 61 44 61 61 65 61 58 62 54 62 66 60 73 70 81]
659, [53 66 54 68 61 64 71 58 64 64 59 61 58 67 64 68]
660, [62 70 45 63 65 63 58 83 62 69 67 71 67 61 50 44]
661, [50 76 27 64 77 65 70 63 82 55 71 57 67 48 65 63]
662, [67 63 45 70 38 68 62 65 61 74 52 76 74 67 62 56]
663, [57 65 42 72 49 51 72 62 73 79 61 53 78 54 67 65]
664, [54 63 45 77 53 66 70 60 63 77 65 55 59 65 58 70]
665, [59 70 56 65 55 73 60 71 49 52 72 61 65 68 53 71]
666, [65 62 48 58 76 65 57 64 66 61 65 62 55 56 69 71]
667, [69 72 35 62 53 70 64 63 75 68 53 57 61 55 72 71]
668, [58 65 40 65 61 72 81 62 64 69 55 62 57 71 72 46]
669, [66 57 39 65 79 53 68 68 61 62 74 54 57 54 64 79]
670, [61 60 49 65 61 69 62 63 67 56 65 76 67 58 63 58]
671, [64 51 40 60 53 60 80 51 57 70 77 53 69 78 70 67]
672, [73 52 32 65 63 66 45 52 73 64 81 62 82 63 65 62]
673, [62 57 37 57 64 57 69 68 65 77 64 68 59 68 66 62]
674, [66 63 42 67 59 63 67 66 58 59 68 76 68 64 54 60]
675, [62 60 35 67 57 60 64 59 76 68 73 60 66 58 71 64]
676, [72 65 39 67 61 53 61 66 67 54 66 52 65 82 77 53]
677, [66 68 31 61 63 53 63 69 67 52 66 64 82 66 65 64]
678, [53 67 48 61 56 59 82 56 73 67 58 54 66 77 61 62]
679, [63 66 40 64 53 64 53 58 52 76 74 60 57 88 68 64]
680, [70 64 48 65 67 65 49 71 53 60 54 73 71 64 66 60]
681, [52 78 44 57 67 73 50 56 70 62 69 61 74 63 67 57]
682, [72 72 50 63 51 67 74 66 77 61 63 61 44 52 62 65]
683, [62 73 41 55 60 70 56 66 57 74 61 51 62 57 88 67]
684, [59 63 23 58 78 62 65 64 63 70 71 72 75 58 52 67]
685, [62 76 54 69 52 69 56 58 47 58 65 81 65 58 71 59]
686, [66 50 44 77 59 56 53 50 61 64 59 84 67 72 73 65]
687, [68 64 46 71 54 55 62 59 71 58 61 70 65 68 64 64]
688, [63 71 46 54 67 60 67 76 61 52 68 68 56 70 59 62]
689, [74 65 44 73 67 60 60 52 55 57 75 63 72 58 57 68]
690, [59 56 36 63 71 56 62 73 67 65 59 64 60 64 63 82]
691, [49 68 58 54 56 59 64 53 86 44 78 59 59 78 63 72]
692, [65 59 32 59 64 58 68 69 66 66 64 52 74 62 73 69]
693, [60 64 49 59 66 64 70 56 71 65 57 62 70 78 57 52]
694, [75 71 31 56 61 47 63 63 75 79 56 63 66 52 71 71]
695, [68 51 43 74 58 57 61 68 58 57 64 54 67 71 66 83]
696, [69 55 44 57 61 50 66 65 65 54 76 69 74 53 72 70]
697, [61 68 49 61 59 83 67 69 60 63 59 65 63 56 64 53]
698, [55 61 47 54 53 54 82 55 63 85 70 78 53 53 73 64]
699, [58 48 18 75 62 75 63 68 52 72 77 62 61 63 61 85]
700, [71 71 61 55 49 67 54 65 67 48 59 70 70 66 66 61]
701, [65 58 43 65 57 57 52 66 89 59 64 68 67 51 73 66]
702, [73 52 42 61 63 64 69 61 68 65 65 73 59 67 51 67]
703, [53 67 46 82 41 70 63 64 59 65 66 75 62 66 67 54]
704, [59 62 56 72 44 62 67 59 70 70 69 71 58 57 56 68]
705, [69 53 59 52 44 68 64 72 63 65 64 68 56 61 73 69]
706, [66 70 44 64 31 79 65 68 74 66 63 79 56 63 51 61]
707, [71 53 66 72 54 57 58 73 67 67 64 69 65 48 58 58]
708, [54 60 41 77 57 66 58 48 57 68 71 63 57 73 81 69]
709, [64 64 25 72 72 67 58 65 68 65 64 72 54 73 55 62]
710, [57 58 35 79 69 50 67 54 73 73 64 60 60 68 75 58]
711, [74 76 44 56 55 57 71 62 63 52 62 65 63 70 54 76]
712, [65 59 39 61 40 69 71 59 64 56 67 63 73 64 89 61]
713, [56 71 41 64 39 88 60 56 73 77 55 58 72 59 70 61]
714, [68 64 50 66 60 61 61 71 64 57 58 54 57 64 79 66]
715, [57 75 59 71 58 54 61 70 68 53 64 52 74 68 61 55]
716, [57 63 43 64 49 73 38 51 85 65 70 69 77 65 76 55]
717, [71 53 46 67 60 61 76 72 68 65 54 65 49 64 57 72]
718, [61 60 43 63 44 66 65 68 76 60 75 71 61 62 62 63]
719, [53 63 47 50 58 69 69 64 67 73 77 56 76 68 53 57]
720, [76 61 41 54 55 81 58 60 53 62 71 64 71 67 60 66]
721, [67 63 47 69 55 64 62 69 72 38 55 51 64 85 70 69]
722, [64 56 39 69 61 57 55 57 75 66 66 76 68 70 73 48]
723, [53 61 34 59 67 62 52 68 75 77 69 71 70 55 54 73]
724, [52 74 19 61 85 75 63 69 69 59 58 54 77 71 55 59]
725, [59 75 32 56 65 60 61 72 52 65 63 65 73 70 63 69]
726, [63 69 44 49 84 74 66 67 64 50 69 58 65 52 67 59]
727, [82 72 44 76 50 68 67 51 61 65 63 66 62 44 69 60]
728, [85 57 40 44 82 54 47 72 51 64 72 63 56 65 71 77]
729, [56 68 46 61 60 68 76 58 53 71 67 56 71 74 59 56]
730, [72 58 30 73 66 75 54 57 52 55 62 64 71 67 82 62]
731, [60 64 33 53 69 55 69 66 73 67 68 74 53 62 70 64]
732, [52 71 36 54 71 52 59 72 68 65 66 66 70 84 59 55]
733, [68 61 39 74 68 50 60 60 68 79 60 63 65 62 61 62]
734, [59 67 31 63 62 59 65 54 67 65 60 73 62 73 76 64]
735, [76 61 52 44 50 85 65 59 80 56 68 63 43 60 58 80]
736, [57 75 35 65 44 57 67 62 70 64 71 67 72 61 75 58]
737, [66 74 45 66 69 58 76 65 59 59 55 57 66 62 49 74]
738, [69 62 52 65 56 68 52 59 61 59 65 54 55 84 77 62]
739, [54 60 28 60 54 92 72 70 63 64 70 67 43 67 64 72]
740, [65 58 46 53 48 67 61 56 66 76 63 81 73 69 62 56]
741, [61 71 61 64 48 63 55 55 60 75 65 58 65 71 66 62]
742, [76 60 13 63 80 63 54 61 73 70 69 60 69 56 71 62]
743, [61 86 42 64 50 64 62 54 69 64 70 58 67 64 65 60]
744, [50 65 60 65 63 66 55 66 62 70 69 65 71 45 64 64]
745, [56 69 48 55 49 66 69 74 83 70 79 62 59 54 52 55]
746, [55 72 55 77 41 58 66 61 54 60 60 72 67 62 64 76]
747, [67 74 36 62 70 69 61 74 64 65 48 62 62 55 70 61]
748, [57 67  7 70 94 49 74 63 63 60 74 60 55 80 66 61]
749, [70 61 36 61 51 67 61 59 61 66 61 79 68 59 64 76]
750, [72 70 25 66 69 63 65 71 65 47 60 65 55 61 75 71]
751, [61 70 44 65 56 56 59 68 79 62 58 58 58 69 73 64]
752, [76 76 41 61 60 53 54 72 67 60 56 54 58 62 77 73]
753, [53 70 46 62 53 50 66 63 76 66 62 65 77 64 62 65]
754, [53 59 54 55 45 67 52 60 64 66 66 71 66 76 81 65]
755, [63 69 49 72 63 42 68 69 79 60 62 56 65 63 57 63]
756, [81 67 31 63 74 60 59 62 47 69 53 75 53 66 65 75]
757, [76 56 20 57 78 62 69 64 68 77 63 66 69 51 60 64]
758, [58 58 31 65 79 61 79 62 72 62 54 68 63 70 64 54]
759, [60 63 39 87 59 60 58 53 64 61 69 64 61 57 55 90]
760, [70 62 55 67 46 90 63 54 51 56 56 74 70 72 58 56]
761, [73 82 37 66 57 62 57 61 50 57 67 71 71 70 60 59]
762, [70 65 29 62 56 62 68 69 70 66 65 51 75 70 62 60]
763, [78 73 48 52 52 70 52 57 63 61 82 65 65 62 65 55]
764, [70 62 25 65 42 67 79 66 69 61 69 49 57 72 73 74]
765, [58 70 40 72 52 68 73 77 55 66 71 69 55 50 59 65]
766, [51 49 46 67 51 69 69 57 65 70 68 74 69 58 66 71]
767, [68 62 49 55 53 54 74 71 54 78 71 55 74 45 78 59]
768, [76 65 45 58 56 80 65 40 71 52 60 62 69 63 73 65]
769, [55 62 30 76 71 74 61 57 66 64 71 65 71 60 60 57]
770, [57 73 43 65 60 61 52 60 69 72 73 52 65 68 67 63]
771, [55 66 41 59 53 66 63 72 75 57 81 58 68 61 65 60]
772, [63 66 43 55 60 67 67 56 53 69 54 66 65 70 65 81]
773, [62 80 16 62 83 64 59 73 60 66 52 61 69 60 59 74]
774, [66 51 39 62 62 58 82 48 61 59 59 76 50 90 70 67]
775, [72 61 33 56 73 79 63 70 62 67 57 67 65 57 52 66]
