episode, show
88, [61 71 51 71 61 72 67 55 49 69 53 68 61 58 73 60]
89, [61 54 52 58 58 71 47 73 52 80 73 64 73 63 59 62]
90, [64 69 65 64 51 68 64 62 70 61 71 59 51 61 66 54]
91, [60 55 64 78 42 80 64 63 59 57 57 79 61 63 64 54]
92, [61 58 45 72 56 56 63 72 60 58 59 67 73 74 60 66]
93, [47 85 37 44 76 68 59 70 68 66 46 68 61 67 62 76]
94, [59 70 59 56 58 69 58 62 68 69 54 56 74 60 55 73]
95, [58 60 43 67 56 65 62 60 60 70 67 70 76 61 58 67]
96, [52 60 38 70 69 69 76 66 65 64 55 48 66 66 64 72]
97, [52 64 41 64 60 67 52 51 52 71 60 65 79 65 86 71]
98, [59 58 60 69 59 62 65 61 52 63 68 68 59 66 59 72]
99, [69 67 51 67 66 67 67 63 56 60 64 61 49 58 63 72]
100, [66 85 38 64 70 62 63 61 67 60 64 64 55 52 71 58]
101, [58 61 46 71 72 71 64 63 48 68 63 68 64 60 56 67]
102, [57 54 66 70 50 63 54 78 75 57 69 59 66 66 55 61]
103, [63 66 44 65 58 61 69 59 64 80 55 64 69 55 67 61]
104, [81 60 49 57 56 61 61 77 69 69 65 60 61 54 64 56]
105, [77 67 45 61 52 61 61 78 51 63 61 57 62 70 57 77]
106, [58 61 55 63 67 63 60 61 53 74 56 70 74 67 61 57]
107, [60 78 38 65 55 67 74 48 73 75 60 69 47 62 61 68]
108, [54 84 64 43 50 54 68 72 62 57 74 59 64 72 71 52]
109, [62 66 44 55 59 57 57 63 87 65 66 58 64 58 74 65]
110, [64 67 40 57 57 52 62 61 68 65 65 76 53 69 61 83]
111, [67 63 54 80 45 44 64 73 67 72 67 78 52 52 63 59]
112, [58 56 53 62 51 65 67 66 75 60 65 67 63 65 65 62]
113, [52 57 50 74 49 52 76 69 64 58 50 51 74 79 75 70]
114, [74 72 60 57 52 55 69 65 60 65 60 72 63 59 52 65]
115, [59 61 53 59 55 63 68 53 72 70 58 62 74 66 70 57]
116, [50 67 77 72 50 70 83 60 63 67 45 64 53 61 62 56]
117, [73 65 57 55 76 64 58 70 58 52 62 75 57 60 54 64]
118, [47 64 58 72 70 55 59 73 65 49 72 53 57 68 74 64]
119, [52 60 44 56 55 54 72 57 65 67 69 74 80 72 63 60]
120, [55 75 58 56 68 67 67 71 66 66 54 63 59 55 66 54]
121, [74 58 45 65 72 64 61 64 63 58 72 72 55 63 64 50]
122, [67 55 37 67 74 69 56 63 65 65 55 78 73 68 55 53]
123, [59 54 51 66 50 56 66 78 64 68 80 66 63 63 60 56]
124, [61 65 67 45 46 64 76 49 47 71 59 65 72 68 69 76]
125, [56 66 46 51 63 61 84 60 64 60 61 60 73 58 68 69]
126, [65 62 49 60 67 73 62 74 67 59 59 55 62 64 59 63]
127, [63 58 59 67 43 65 56 65 64 72 73 60 62 73 65 55]
128, [57 66 52 71 51 73 66 61 67 67 61 57 72 56 71 52]
129, [49 66 51 63 50 57 57 54 70 65 55 80 81 60 69 73]
130, [59 64 60 68 62 53 66 67 64 73 54 62 66 53 63 66]
131, [62 63 55 58 65 62 56 67 74 75 62 63 50 57 74 57]
132, [58 57 70 70 55 56 62 62 71 59 58 65 64 76 59 58]
133, [73 69 51 50 62 63 59 65 68 68 60 76 53 64 53 66]
134, [67 66 50 62 58 54 70 68 55 71 67 67 73 56 62 54]
135, [62 53 44 70 59 72 64 65 52 57 65 63 70 58 72 74]
136, [72 65 47 70 59 63 65 70 67 59 54 73 60 62 57 57]
137, [62 84 55 65 60 56 61 80 54 49 62 72 67 54 62 57]
138, [55 67 42 62 59 60 56 71 75 69 60 67 58 66 59 74]
139, [69 55 58 59 57 65 68 69 69 74 63 51 75 62 45 61]
140, [75 63 16 51 89 58 66 60 81 58 58 69 62 65 63 66]
141, [54 65 46 74 53 71 68 66 56 66 63 70 66 58 59 65]
142, [58 66 38 67 58 61 62 70 70 75 67 51 68 66 54 69]
143, [59 59 46 61 65 69 74 67 63 59 63 56 62 66 62 69]
144, [55 71 57 74 44 70 55 77 53 60 70 51 81 58 63 61]
